,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
30317,2.0,2,31,2.0,10,0,0,50,0
30318,2.0,1,37,3.0,7,1,0,59,0
30319,3.0,1,47,5.0,4,1,0,62,0
30320,2.0,1,25,5.0,2,0,0,44,0
30322,2.0,1,29,3.0,4,0,0,52,0
30323,3.0,1,34,3.0,7,0,0,47,0
30324,2.0,1,51,5.0,3,1,0,62,0
30325,2.0,1,26,3.0,3,0,0,56,0
30326,2.0,1,36,3.0,7,0,0,66,0
30327,2.0,1,36,4.0,7,1,0,51,0
30328,3.0,1,58,3.0,32,0,0,59,0
30329,2.0,3,37,3.0,7,0,0,76,0
30330,2.0,2,29,2.0,5,1,0,82,0
30331,2.0,1,38,3.0,7,1,0,48,0
30332,2.0,1,30,3.0,4,0,0,52,0
30334,2.0,2,30,1.0,1,0,0,59,0
30335,2.0,1,36,3.0,10,0,0,69,0
30336,3.0,1,45,2.0,2,0,0,50,0
30337,3.0,1,56,1.0,12,0,0,45,0
30338,3.0,1,60,1.0,12,0,0,55,0
30339,2.0,1,35,5.0,7,1,0,49,0
30340,3.0,1,38,4.0,7,0,0,50,0
30341,2.0,1,26,5.0,2,0,0,44,0
30342,3.0,1,39,3.0,10,0,0,58,0
30343,3.0,1,31,3.0,3,0,0,72,0
30344,2.0,1,29,3.0,2,0,0,70,0
30345,3.0,1,41,4.0,2,0,0,52,0
30346,2.0,1,32,2.0,4,0,0,51,0
30348,2.0,2,43,3.0,5,0,0,46,0
30349,2.0,1,35,4.0,8,1,0,49,1
30350,2.0,1,30,3.0,5,0,0,66,0
30351,2.0,1,56,5.0,14,0,0,48,0
30352,2.0,1,42,4.0,5,0,0,61,0
30354,2.0,1,60,1.0,14,0,0,63,0
30355,2.0,1,30,5.0,4,1,0,51,0
30358,2.0,2,29,4.0,3,0,0,44,0
30359,2.0,1,35,4.0,8,0,0,62,0
30360,3.0,1,32,3.0,7,1,0,50,0
30361,3.0,1,40,3.0,11,0,0,64,0
30362,2.0,1,41,1.0,9,0,0,78,0
30365,3.0,3,35,3.0,2,0,0,76,0
30366,2.0,1,29,3.0,3,0,1,60,1
30367,3.0,1,34,1.0,5,0,0,50,0
30368,3.0,1,40,1.0,6,0,0,71,0
30369,2.0,1,30,2.0,7,0,0,76,0
30370,3.0,1,29,4.0,3,0,0,84,0
30371,3.0,1,33,1.0,2,0,0,51,0
30372,2.0,1,31,3.0,3,1,0,69,0
30373,3.0,1,36,2.0,10,0,0,45,0
30374,2.0,1,27,2.0,2,1,0,58,1
30375,3.0,2,31,3.0,3,0,0,82,0
30376,2.0,1,47,2.0,13,0,0,92,1
30377,2.0,1,57,5.0,5,1,0,59,0
30378,2.0,2,35,3.0,7,0,0,60,0
30379,2.0,1,30,5.0,2,0,0,57,0
30380,2.0,1,41,2.0,10,0,0,86,0
30381,3.0,1,37,5.0,4,1,0,53,0
30382,3.0,1,39,4.0,4,0,0,56,0
30383,3.0,4,37,5.0,6,1,0,90,1
30384,2.0,1,40,5.0,12,1,0,60,0
30385,2.0,1,26,3.0,2,0,0,84,0
30387,2.0,1,36,3.0,8,0,0,54,0
30388,3.0,1,38,3.0,7,0,0,48,0
30389,3.0,2,50,3.0,7,1,0,61,1
30390,3.0,1,46,3.0,16,1,0,76,1
30391,3.0,1,35,5.0,6,1,0,80,0
30392,2.0,1,28,5.0,5,1,0,60,0
30393,3.0,1,38,2.0,9,0,0,77,0
30394,2.0,1,30,5.0,4,0,0,57,0
30395,3.0,1,34,5.0,3,0,0,48,0
30396,2.0,2,32,5.0,8,1,0,83,0
30397,3.0,1,40,3.0,6,0,0,79,0
30398,2.0,2,29,3.0,2,0,0,81,0
30399,2.0,1,38,3.0,7,0,0,51,0
30400,3.0,4,35,4.0,2,1,0,76,0
30401,3.0,1,30,3.0,5,0,0,88,0
30402,2.0,1,36,4.0,13,0,0,79,0
30403,2.0,1,33,1.0,4,0,0,44,0
30404,2.0,1,32,5.0,10,1,0,72,0
30405,3.0,1,35,5.0,7,1,0,54,0
30406,2.0,1,36,3.0,2,0,0,67,0
30407,2.0,1,24,5.0,2,1,0,47,0
30408,3.0,1,35,3.0,8,0,0,49,0
30409,2.0,1,34,3.0,3,0,0,86,0
30410,3.0,1,35,1.0,6,0,0,60,0
30411,2.0,1,33,3.0,4,0,0,48,0
30412,2.0,1,28,5.0,2,1,0,58,0
30413,2.0,1,27,4.0,5,0,0,50,0
30414,2.0,1,27,3.0,3,0,0,82,0
30415,3.0,1,33,3.0,3,0,0,79,0
30416,2.0,1,35,5.0,6,0,0,62,0
30417,2.0,1,30,4.0,5,1,0,83,0
30418,2.0,1,33,1.0,2,0,0,85,0
30419,2.0,1,32,5.0,6,1,0,71,0
30420,3.0,1,46,2.0,18,0,0,78,0
30421,2.0,3,27,5.0,2,1,0,83,0
30423,2.0,1,31,5.0,3,1,0,82,0
30424,3.0,1,42,5.0,11,0,0,61,0
30425,2.0,1,31,2.0,7,0,0,77,0
30426,2.0,1,43,3.0,10,1,0,49,1
30427,3.0,1,39,4.0,4,1,0,76,1
30428,2.0,1,50,2.0,3,0,0,49,0
30429,2.0,1,30,1.0,2,0,0,85,0
30430,3.0,1,56,4.0,18,0,0,47,0
30431,3.0,1,46,4.0,19,1,0,48,0
30432,3.0,1,32,5.0,6,0,0,83,0
30433,2.0,4,29,3.0,2,1,0,79,0
30434,2.0,1,28,3.0,2,0,0,53,0
30435,2.0,1,32,5.0,4,0,0,57,0
30436,2.0,1,26,4.0,3,0,0,57,0
30437,3.0,1,33,3.0,7,0,0,67,0
30438,2.0,1,27,5.0,3,0,0,48,0
30439,3.0,1,46,3.0,13,0,0,78,0
30440,2.0,1,31,4.0,2,1,0,50,0
30441,2.0,5,27,4.0,3,0,0,48,0
30442,2.0,1,33,3.0,4,0,0,73,0
30443,3.0,1,34,1.0,10,0,0,54,0
30444,2.0,1,33,1.0,7,0,0,57,0
30445,2.0,1,48,3.0,14,0,0,54,0
30446,2.0,1,35,3.0,3,1,0,75,0
30447,2.0,4,29,3.0,6,0,0,72,0
30448,2.0,2,30,5.0,6,1,0,80,0
30449,1.0,2,24,3.0,2,0,0,70,0
30450,2.0,1,48,3.0,15,0,0,52,0
30451,3.0,1,45,3.0,17,1,0,92,1
30452,2.0,2,36,3.0,10,0,0,79,0
30453,2.0,1,32,3.0,7,0,0,46,0
30454,3.0,1,46,3.0,14,0,0,82,0
30456,3.0,2,39,5.0,12,1,0,84,1
30457,2.0,1,41,5.0,7,1,1,64,0
30458,2.0,1,34,5.0,10,1,0,57,1
30459,2.0,1,39,1.0,10,0,0,47,0
30461,3.0,1,35,2.0,4,0,0,49,0
30462,2.0,1,23,4.0,2,1,1,80,0
30463,2.0,1,31,5.0,5,1,0,74,0
30464,2.0,3,31,3.0,9,0,0,51,0
30465,3.0,1,33,3.0,7,0,0,60,0
30466,2.0,1,30,5.0,3,1,0,84,0
30467,2.0,1,38,4.0,9,0,0,50,0
30468,2.0,1,30,5.0,5,1,0,70,1
30469,2.0,2,29,5.0,2,1,0,82,0
30470,2.0,2,27,3.0,5,0,0,68,0
30471,2.0,1,38,2.0,9,0,0,53,0
30472,2.0,1,32,3.0,5,0,0,42,0
30474,3.0,1,35,5.0,8,0,0,50,0
30475,3.0,1,32,4.0,7,0,0,50,0
30477,3.0,1,43,5.0,5,1,1,92,1
30478,2.0,1,32,5.0,7,1,0,71,0
30481,2.0,1,35,4.0,7,0,0,83,0
30482,2.0,1,27,5.0,2,1,0,49,0
30483,2.0,1,41,1.0,5,0,0,51,0
30484,2.0,2,31,4.0,7,0,0,58,0
30485,2.0,2,30,4.0,3,1,0,56,0
30486,2.0,2,30,5.0,7,1,0,87,0
30487,3.0,1,35,4.0,9,0,0,53,0
30488,2.0,2,31,3.0,5,0,0,83,0
30489,2.0,1,29,4.0,4,0,0,50,0
30490,2.0,1,32,3.0,7,0,0,59,0
30492,2.0,2,50,3.0,7,1,0,69,0
30493,2.0,1,40,4.0,9,0,0,67,0
30494,2.0,1,43,4.0,7,0,0,58,0
30495,2.0,1,35,3.0,3,0,0,59,0
30496,3.0,1,36,3.0,7,1,0,65,1
30497,2.0,1,31,3.0,2,0,0,51,0
30498,2.0,2,48,3.0,6,0,0,60,0
30499,3.0,3,37,5.0,5,0,0,47,0
30500,2.0,1,36,4.0,3,0,0,59,0
30501,3.0,1,40,4.0,10,0,0,49,0
30502,2.0,1,45,3.0,5,0,0,82,0
30503,2.0,1,27,5.0,2,1,0,50,0
30504,2.0,1,31,3.0,3,0,0,46,0
30505,2.0,1,45,3.0,7,0,0,60,0
30506,2.0,1,34,4.0,5,0,0,81,0
30508,3.0,1,40,3.0,6,1,0,68,1
30509,2.0,1,27,3.0,6,0,0,79,0
30510,2.0,1,39,3.0,4,0,0,55,0
30512,2.0,1,32,3.0,4,0,0,77,0
30513,3.0,1,38,3.0,9,0,0,71,1
30514,2.0,1,46,5.0,2,0,0,60,0
30515,2.0,3,32,1.0,4,0,0,70,0
30516,3.0,2,39,1.0,10,0,0,46,0
30518,3.0,1,32,3.0,5,0,0,60,0
30519,2.0,1,28,3.0,4,0,0,51,0
30520,2.0,1,33,4.0,3,0,0,50,0
30521,3.0,2,36,5.0,2,1,0,51,0
30522,3.0,2,38,4.0,3,0,0,79,0
30523,2.0,1,37,1.0,5,0,0,51,0
30524,2.0,1,30,5.0,4,1,0,50,1
30525,3.0,1,39,3.0,7,0,0,60,0
30526,2.0,2,32,1.0,5,0,0,69,0
30527,3.0,1,39,2.0,9,0,0,73,0
30528,2.0,1,27,4.0,3,0,0,70,0
30529,3.0,1,43,3.0,6,1,0,72,0
30530,2.0,1,35,1.0,2,0,0,53,0
30531,2.0,1,32,5.0,6,1,0,60,0
30532,3.0,1,33,3.0,4,0,0,65,0
30533,2.0,1,32,4.0,3,0,0,90,0
30534,2.0,1,43,5.0,11,0,0,52,0
30535,2.0,2,34,1.0,9,0,0,80,0
30537,3.0,2,31,5.0,2,1,0,56,0
30538,2.0,1,39,5.0,7,0,0,49,0
30539,2.0,1,29,2.0,4,0,0,60,0
30540,2.0,1,40,3.0,9,0,0,49,0
30541,2.0,1,34,2.0,5,0,0,83,0
30542,2.0,1,29,5.0,4,1,0,58,0
30543,3.0,1,31,4.0,2,1,0,60,0
30544,3.0,1,40,5.0,7,1,0,84,0
30545,2.0,1,40,3.0,5,0,0,59,0
30546,2.0,1,47,1.0,2,0,0,50,0
30547,2.0,1,32,3.0,5,0,0,79,0
30548,2.0,1,30,2.0,5,0,0,49,0
30549,2.0,2,31,1.0,6,0,0,48,0
30550,3.0,1,33,3.0,6,0,0,64,0
30551,2.0,1,33,5.0,5,0,0,45,0
30553,2.0,1,34,5.0,9,0,0,52,0
30554,3.0,1,56,3.0,16,0,0,51,0
30555,2.0,1,41,4.0,7,1,0,74,0
30556,3.0,3,45,3.0,7,0,0,46,0
30558,2.0,1,29,2.0,5,0,0,62,0
30559,2.0,1,27,5.0,1,1,0,77,0
30560,3.0,1,37,5.0,3,1,0,60,0
30561,2.0,1,31,1.0,3,1,0,54,0
30562,2.0,1,28,2.0,2,1,0,64,0
30563,2.0,1,37,2.0,7,0,0,83,0
30564,2.0,1,43,5.0,2,0,0,59,0
30565,3.0,1,39,3.0,5,1,0,61,0
30566,1.0,1,25,3.0,2,1,0,58,1
30567,2.0,1,42,3.0,2,1,0,54,0
30568,2.0,1,40,1.0,8,0,0,51,0
30569,2.0,2,30,5.0,5,1,0,51,1
30570,3.0,1,36,2.0,4,0,0,51,0
30571,2.0,1,46,5.0,6,1,0,59,0
30572,2.0,1,39,3.0,10,0,0,52,0
30573,3.0,1,30,2.0,2,0,0,70,0
30574,2.0,1,29,3.0,4,0,0,53,0
30575,2.0,1,25,1.0,3,0,0,47,0
30576,2.0,1,26,5.0,3,1,0,50,0
30577,2.0,1,26,3.0,2,0,0,53,0
30578,3.0,2,40,3.0,5,0,0,57,0
30579,2.0,1,33,5.0,6,1,0,59,0
30580,2.0,1,39,1.0,4,0,0,50,0
30581,2.0,1,34,5.0,2,1,0,76,0
30582,2.0,2,40,5.0,13,0,0,59,0
30583,2.0,1,36,1.0,7,0,0,60,0
30584,2.0,1,56,3.0,2,0,0,67,0
30585,3.0,1,32,1.0,6,0,0,47,0
30586,3.0,1,35,3.0,10,0,0,48,0
30587,2.0,1,34,3.0,3,0,0,62,0
30588,2.0,2,30,1.0,5,0,0,44,0
30589,3.0,1,58,4.0,26,0,0,71,0
30590,2.0,2,33,3.0,6,0,0,48,0
30591,2.0,1,46,5.0,13,1,0,81,0
30592,3.0,1,45,2.0,18,1,0,57,0
30593,2.0,1,41,2.0,6,0,0,77,0
30594,2.0,1,42,1.0,6,1,1,47,0
30595,3.0,1,38,5.0,5,1,0,57,0
30596,3.0,1,52,2.0,4,0,0,77,0
30597,3.0,1,41,3.0,7,1,0,50,0
30598,2.0,1,31,1.0,3,1,0,73,0
30600,2.0,1,32,1.0,7,0,0,77,0
30601,2.0,1,34,1.0,8,0,0,45,0
30602,3.0,1,38,4.0,4,1,0,58,0
30603,2.0,1,32,3.0,6,1,0,60,0
30604,2.0,1,37,3.0,6,1,0,49,0
30605,2.0,1,53,1.0,13,0,0,49,0
30606,2.0,1,27,3.0,3,1,0,50,0
30608,3.0,2,34,3.0,7,0,0,57,0
30609,2.0,1,33,3.0,7,1,0,48,0
30611,2.0,2,29,3.0,5,0,0,48,0
30612,2.0,1,29,4.0,4,1,0,82,0
30613,3.0,1,56,5.0,11,0,0,49,0
30614,3.0,1,35,3.0,9,0,0,84,0
30615,2.0,2,32,5.0,6,1,0,68,0
30616,2.0,1,50,5.0,12,1,0,80,0
30617,2.0,1,25,3.0,3,0,0,48,0
30618,2.0,1,48,3.0,17,0,0,75,0
30619,2.0,1,39,5.0,5,1,0,56,0
30620,2.0,1,31,3.0,3,0,0,53,0
30621,2.0,1,29,5.0,5,0,0,48,0
30622,3.0,1,35,4.0,4,0,0,42,0
30625,3.0,1,36,4.0,6,0,0,53,0
30626,2.0,1,32,5.0,7,0,0,69,0
30627,3.0,1,42,1.0,5,0,0,81,0
30628,3.0,2,37,2.0,9,0,0,58,0
30629,2.0,1,35,2.0,7,0,0,86,0
30631,2.0,1,32,5.0,3,1,0,60,0
30632,2.0,1,54,5.0,11,1,0,46,0
30633,3.0,2,35,3.0,7,0,1,72,1
30634,2.0,1,33,3.0,10,0,0,69,1
30635,2.0,2,28,3.0,7,0,0,46,0
30636,3.0,1,33,4.0,6,0,0,80,0
30637,2.0,1,29,4.0,2,0,0,53,0
30638,2.0,1,25,2.0,4,0,0,43,0
30639,3.0,1,37,2.0,7,0,0,52,0
30640,2.0,1,24,5.0,2,0,0,64,0
30641,3.0,1,40,1.0,6,0,0,72,0
30642,2.0,1,30,3.0,2,1,0,45,0
30643,2.0,1,54,3.0,13,0,0,48,0
30645,3.0,1,38,1.0,4,1,1,70,0
30646,3.0,1,42,1.0,15,0,0,51,0
30647,3.0,1,43,5.0,7,1,0,71,0
30648,2.0,1,26,3.0,2,0,0,86,0
30649,3.0,1,34,5.0,6,1,0,82,0
30650,3.0,1,34,5.0,7,0,0,79,0
30651,2.0,1,32,3.0,6,0,0,61,0
30653,2.0,1,32,5.0,6,1,0,48,0
30654,2.0,1,31,5.0,5,1,0,76,0
30655,2.0,1,26,1.0,3,0,0,61,0
30656,2.0,1,31,5.0,5,1,0,48,0
30657,3.0,2,42,3.0,5,0,0,80,0
30658,3.0,1,31,3.0,3,0,0,77,0
30659,3.0,2,34,4.0,6,0,0,84,0
30660,2.0,1,35,2.0,4,0,0,59,0
30661,2.0,2,32,4.0,8,0,0,47,0
30662,3.0,1,42,2.0,13,0,0,52,0
30663,2.0,1,40,3.0,16,1,0,65,0
30664,2.0,1,40,3.0,10,0,0,46,0
30665,2.0,2,30,3.0,2,1,0,80,0
30667,3.0,1,39,5.0,10,0,0,61,1
30668,2.0,1,31,3.0,4,1,0,59,1
30669,2.0,1,57,1.0,19,0,0,49,0
30670,2.0,1,31,3.0,5,1,0,61,0
30671,3.0,1,34,4.0,2,0,0,56,0
30672,2.0,2,30,1.0,3,0,0,82,0
30673,2.0,1,36,3.0,10,1,0,55,0
30674,3.0,1,30,5.0,5,1,0,84,1
30675,2.0,1,39,4.0,12,0,0,56,0
30676,2.0,1,30,4.0,7,1,0,62,0
30677,2.0,2,36,1.0,3,0,0,44,0
30678,2.0,1,30,4.0,3,1,0,52,0
30679,3.0,1,34,1.0,2,1,0,63,0
30680,2.0,2,40,5.0,13,1,0,78,0
30681,2.0,1,26,1.0,3,0,0,86,0
30683,3.0,1,37,5.0,7,1,0,88,0
30684,2.0,1,41,5.0,11,1,0,58,0
30685,3.0,1,48,4.0,6,0,0,77,0
30686,2.0,1,39,4.0,3,1,0,50,0
30687,3.0,1,31,5.0,7,1,0,66,0
30688,3.0,2,38,1.0,5,0,1,57,0
30689,3.0,1,37,3.0,8,0,0,69,0
30690,2.0,1,33,5.0,5,1,0,74,0
30692,3.0,1,43,3.0,7,1,0,66,0
30694,2.0,1,30,3.0,7,0,0,48,0
30695,2.0,2,32,3.0,8,0,0,67,0
30696,2.0,2,27,4.0,2,0,0,49,0
30697,2.0,2,30,3.0,4,1,0,51,0
30699,2.0,1,34,4.0,7,0,0,74,0
30700,2.0,2,46,3.0,15,0,0,77,0
30701,3.0,3,43,1.0,13,0,0,48,0
30702,3.0,1,57,5.0,8,0,0,53,0
30703,2.0,4,27,1.0,4,0,0,48,0
30704,2.0,1,30,1.0,6,1,0,48,0
30705,3.0,1,41,3.0,3,1,0,50,0
30706,3.0,1,48,4.0,10,1,0,57,0
30707,2.0,1,31,5.0,8,1,0,51,0
30708,2.0,1,33,1.0,8,0,0,74,0
30709,2.0,1,30,5.0,5,1,0,82,0
30710,2.0,1,27,4.0,1,1,0,57,0
30711,2.0,1,30,4.0,4,1,0,82,0
30712,3.0,2,36,3.0,5,0,0,53,0
30713,2.0,1,27,4.0,2,0,0,82,0
30714,3.0,1,38,1.0,7,0,0,88,0
30715,2.0,2,28,4.0,2,1,0,50,0
30716,2.0,1,29,5.0,3,0,0,87,1
30717,2.0,1,37,3.0,7,0,0,75,0
30718,2.0,1,31,4.0,4,0,0,61,0
30720,2.0,2,26,3.0,5,0,0,47,0
30721,2.0,1,35,5.0,5,1,0,71,0
30722,2.0,1,51,3.0,6,0,0,62,0
30723,2.0,1,41,1.0,4,0,0,51,0
30724,3.0,1,39,4.0,2,1,0,48,0
30725,2.0,1,39,4.0,3,1,0,54,0
30726,2.0,1,30,3.0,6,0,0,45,0
30727,2.0,1,30,4.0,4,1,0,60,0
30728,2.0,1,49,3.0,3,0,0,68,0
30729,2.0,1,28,3.0,5,0,0,52,0
30730,3.0,1,48,3.0,3,0,0,81,0
30731,2.0,1,41,3.0,2,1,0,50,0
30732,2.0,2,31,2.0,2,0,0,84,0
30733,2.0,1,37,1.0,7,0,0,50,0
30734,2.0,1,33,4.0,6,1,0,50,0
30735,2.0,1,59,5.0,13,1,0,67,0
30736,2.0,1,35,2.0,9,0,0,68,0
30737,3.0,2,57,3.0,10,0,0,81,0
30738,2.0,1,39,4.0,2,1,0,57,0
30739,3.0,1,39,5.0,5,1,0,56,0
30740,2.0,1,37,4.0,5,0,0,45,0
30741,3.0,1,39,4.0,7,0,0,48,0
30742,2.0,1,29,1.0,4,0,0,80,0
30743,3.0,1,35,3.0,3,1,0,78,0
30744,2.0,1,28,3.0,3,1,0,51,1
30745,2.0,1,27,1.0,3,0,0,65,0
30746,2.0,1,31,5.0,5,0,0,48,0
30747,2.0,1,42,3.0,8,0,0,50,0
30749,2.0,1,37,3.0,7,0,0,51,0
30750,2.0,1,32,1.0,8,0,0,53,0
30751,2.0,1,32,3.0,4,1,0,86,0
30752,3.0,1,56,1.0,19,1,0,49,0
30753,3.0,1,35,5.0,6,1,0,85,0
30754,3.0,2,37,1.0,3,0,0,77,0
30755,2.0,1,47,5.0,6,1,0,76,0
30757,2.0,2,31,3.0,4,1,0,59,0
30759,2.0,1,40,4.0,7,0,0,48,0
30761,2.0,1,50,4.0,21,1,0,65,0
30762,2.0,1,41,5.0,13,0,0,60,0
30763,2.0,1,58,5.0,7,1,0,61,0
30764,2.0,2,30,2.0,4,1,0,50,0
30765,2.0,1,34,4.0,9,0,0,61,0
30767,2.0,3,35,3.0,3,1,0,71,0
30768,2.0,1,32,2.0,3,0,0,79,0
30770,2.0,1,34,3.0,3,0,0,70,0
30771,2.0,1,33,1.0,6,0,0,61,0
30774,2.0,1,43,5.0,11,1,0,51,1
30776,2.0,3,43,3.0,15,0,0,53,0
30777,3.0,1,32,3.0,5,1,0,70,0
30778,2.0,1,40,3.0,1,1,0,47,0
30780,2.0,1,28,3.0,4,0,0,57,0
30781,2.0,1,28,4.0,1,0,0,49,0
30782,2.0,2,26,3.0,3,1,0,83,0
30783,2.0,1,48,3.0,19,0,0,60,0
30784,2.0,1,35,3.0,10,0,0,79,0
30785,2.0,2,33,4.0,7,1,0,59,0
30786,3.0,1,42,4.0,5,0,0,69,0
30787,3.0,1,36,3.0,3,0,0,56,0
30788,3.0,1,49,3.0,17,0,0,48,0
30789,2.0,3,28,3.0,5,0,0,85,0
30790,2.0,1,43,5.0,7,1,0,60,0
30791,2.0,1,44,2.0,12,0,0,44,0
30792,3.0,3,34,3.0,6,0,0,85,0
30793,3.0,1,59,4.0,14,1,0,48,1
30794,3.0,1,60,4.0,16,0,0,61,0
30795,2.0,1,35,5.0,6,1,0,74,0
30796,2.0,1,57,1.0,3,0,0,76,0
30797,2.0,1,34,2.0,7,0,0,62,0
30798,2.0,1,38,5.0,4,1,0,78,0
30799,3.0,1,37,5.0,2,1,0,49,0
30802,2.0,1,29,3.0,7,1,0,60,0
30804,2.0,1,35,3.0,3,1,0,66,0
30806,2.0,1,28,5.0,2,1,0,86,1
30807,3.0,1,37,4.0,4,0,0,48,0
30808,2.0,1,35,1.0,7,0,0,52,0
30809,3.0,1,42,5.0,6,1,0,57,0
30810,2.0,1,29,4.0,6,0,0,58,0
30811,3.0,2,37,3.0,7,0,0,54,0
30812,2.0,1,26,3.0,2,0,0,49,0
30813,2.0,2,37,1.0,9,0,0,47,0
30814,2.0,1,46,1.0,14,0,0,49,0
30815,2.0,1,31,5.0,4,1,0,53,0
30816,2.0,3,31,4.0,5,0,0,82,0
30817,2.0,1,30,3.0,7,1,1,76,1
30818,2.0,1,33,1.0,7,0,0,48,0
30819,2.0,1,33,5.0,7,1,0,55,1
30820,2.0,1,41,5.0,6,1,0,67,0
30821,3.0,4,32,1.0,9,0,0,46,0
30822,3.0,1,53,5.0,13,0,0,60,0
30823,1.0,1,23,3.0,2,1,0,85,1
30824,3.0,1,33,3.0,3,0,0,75,0
30825,2.0,1,34,3.0,6,0,0,76,0
30826,2.0,2,32,3.0,6,0,0,47,0
30827,2.0,1,32,5.0,5,1,0,58,0
30828,2.0,1,35,1.0,8,0,0,48,0
30829,2.0,1,30,3.0,2,0,0,59,0
30830,2.0,1,29,4.0,3,0,0,62,0
30831,2.0,1,52,3.0,23,0,0,79,0
30832,3.0,2,43,5.0,5,1,0,59,1
30833,3.0,2,49,3.0,17,0,1,86,1
30834,3.0,1,42,5.0,15,1,0,44,0
30835,2.0,1,50,4.0,18,0,0,57,0
30836,2.0,1,39,2.0,6,0,0,52,0
30837,2.0,2,43,1.0,4,0,0,50,0
30839,2.0,1,36,5.0,3,0,0,93,1
30840,3.0,1,35,1.0,9,0,0,53,0
30841,3.0,2,37,4.0,6,0,0,49,0
30843,2.0,1,37,4.0,7,0,0,44,0
30844,3.0,1,41,5.0,6,0,0,65,1
30845,2.0,1,29,2.0,4,0,0,60,0
30846,2.0,1,34,2.0,9,1,0,57,1
30847,2.0,1,35,4.0,6,1,0,61,0
30848,2.0,1,55,3.0,6,0,0,48,0
30849,2.0,1,35,1.0,5,0,0,59,0
30851,2.0,1,26,2.0,2,0,0,79,0
30852,2.0,1,36,3.0,3,0,0,55,0
30853,2.0,1,36,1.0,7,0,0,48,0
30854,2.0,1,35,4.0,2,1,0,53,0
30855,2.0,2,33,5.0,7,1,0,57,0
30856,2.0,1,30,1.0,2,0,0,51,0
30858,2.0,1,35,1.0,10,0,0,56,0
30859,2.0,1,37,5.0,7,0,0,43,0
30860,2.0,1,35,5.0,4,0,0,84,0
30861,2.0,1,36,4.0,4,0,0,61,0
30862,2.0,1,28,1.0,5,0,0,69,0
30863,3.0,1,60,5.0,8,0,0,64,0
30864,3.0,1,35,2.0,2,0,0,52,0
30865,3.0,1,54,4.0,15,0,0,81,0
30866,2.0,1,35,1.0,9,0,0,48,0
30867,2.0,2,30,3.0,4,0,0,86,0
30868,2.0,2,28,3.0,2,0,0,88,0
30869,2.0,3,29,4.0,3,1,0,80,0
30870,2.0,1,40,5.0,6,1,0,60,0
30871,2.0,1,26,2.0,2,0,0,73,0
30872,2.0,1,33,5.0,5,1,0,68,1
30873,2.0,1,38,4.0,5,1,0,48,0
30874,3.0,1,49,5.0,3,0,0,52,0
30876,3.0,1,36,4.0,3,0,0,56,0
30877,2.0,1,36,2.0,9,0,0,46,0
30879,2.0,1,34,5.0,7,0,0,63,0
30881,2.0,1,37,4.0,5,1,0,56,0
30882,2.0,1,49,3.0,2,0,0,69,0
30883,2.0,1,31,3.0,2,0,0,68,0
30884,2.0,1,30,5.0,3,0,0,50,0
30885,2.0,1,44,5.0,5,0,0,45,0
30886,2.0,1,29,3.0,1,1,0,49,1
30887,2.0,1,32,2.0,5,1,0,61,0
30888,2.0,1,39,5.0,4,1,0,64,0
30889,2.0,2,27,3.0,2,0,0,62,0
30890,2.0,1,30,3.0,5,0,0,80,0
30891,3.0,1,31,2.0,3,1,0,59,0
30892,2.0,1,32,3.0,4,1,0,80,0
30893,3.0,1,48,4.0,14,0,0,76,0
30895,3.0,1,41,3.0,7,0,0,82,0
30896,2.0,2,31,3.0,7,0,0,82,0
30897,3.0,1,44,3.0,4,0,0,73,0
30898,3.0,1,43,3.0,7,0,0,79,0
30899,3.0,2,40,3.0,14,0,0,67,0
30900,2.0,1,46,3.0,19,0,0,80,0
30901,2.0,1,29,3.0,6,0,0,49,0
30902,2.0,2,32,3.0,4,1,0,81,0
30903,2.0,1,35,3.0,7,0,0,81,0
30905,2.0,1,32,1.0,5,0,0,86,0
30906,2.0,3,34,5.0,6,1,1,80,0
30907,2.0,1,40,3.0,2,1,0,62,0
30908,2.0,1,32,3.0,3,0,0,82,0
30910,3.0,2,40,3.0,7,1,0,50,1
30911,2.0,1,60,5.0,11,1,0,50,0
30912,3.0,1,40,5.0,4,1,0,56,0
30913,2.0,2,28,3.0,5,0,0,49,0
30914,2.0,1,35,3.0,7,0,0,68,0
30915,2.0,1,31,5.0,8,1,0,71,1
30916,2.0,1,34,2.0,4,0,0,43,0
30917,3.0,1,36,4.0,10,0,0,53,0
30918,2.0,1,55,3.0,7,1,0,49,1
30921,2.0,4,31,4.0,2,0,0,60,0
30922,3.0,1,35,3.0,7,0,0,50,0
30923,2.0,1,27,3.0,2,1,0,51,0
30924,3.0,1,36,3.0,6,1,0,58,0
30926,2.0,1,34,3.0,9,0,0,58,0
30927,2.0,2,34,2.0,2,1,0,76,0
30928,3.0,1,34,5.0,9,1,0,56,0
30930,3.0,1,47,3.0,6,1,0,52,0
30931,3.0,1,41,2.0,11,0,0,80,0
30932,2.0,1,29,5.0,7,1,0,49,0
30933,2.0,1,28,3.0,2,0,0,50,0
30934,3.0,1,35,1.0,4,0,0,51,0
30935,2.0,1,30,4.0,8,1,0,82,1
30936,2.0,10,28,3.0,2,0,0,71,0
30937,2.0,1,38,3.0,3,1,0,51,1
30938,2.0,1,28,2.0,5,0,0,62,0
